name,coordinates
2539,"-108.151988,37.472852,0"
2551,"-108.152005,37.472833,0"
2616,"-108.152006,37.472877,0"
2572,"-108.152085,37.472832,0"
2602,"-108.152113,37.472861,0"
2441,"-108.152314,37.474221,0"
2439,"-108.152363,37.4742,0"
2397,"-108.152394,37.474172,0"
2431,"-108.15241,37.474219,0"
2398,"-108.152414,37.474115,0"
2828,"-108.153726,37.47257,0"
2808,"-108.15379,37.472538,0"
2758,"-108.153813,37.472456,0"
2792,"-108.153906,37.472519,0"
2815,"-108.153956,37.472584,0"
2080,"-108.154053,37.473592,0"
2097,"-108.154131,37.47354,0"
2021,"-108.154175,37.473678,0"
2127,"-108.154263,37.473658,0"
2143,"-108.154266,37.473631,0"
2234,"-108.160295,37.475358,0"
2218,"-108.160334,37.475366,0"
2244,"-108.160399,37.475315,0"
2203,"-108.16041,37.47548,0"
2314,"-108.160471,37.475412,0"
MET1,"-108.184585,37.478726,0"
MET5,"-108.184652,37.478803,0"
MET3,"-108.18467,37.478719,0"
585,"-108.184729,37.47862,0"
572,"-108.184754,37.478748,0"
1411,"-108.192133,37.481845,0"
1425,"-108.192152,37.481852,0"
1448,"-108.192225,37.481871,0"
1479,"-108.192272,37.481984,0"
623,"-108.193456,37.481854,0"
MCT4,"-108.193539,37.481867,0"
632,"-108.193551,37.481774,0"
MCT1,"-108.193598,37.481804,0"
674,"-108.193643,37.481831,0"
1018,"-108.195822,37.483149,0"
1037,"-108.195952,37.483144,0"
1070,"-108.19598,37.483241,0"
1013,"-108.195992,37.483186,0"
1039,"-108.196019,37.483117,0"
744,"-108.196709,37.483017,0"
739,"-108.19676,37.483064,0"
722,"-108.196805,37.483203,0"
751,"-108.196828,37.482958,0"
734,"-108.196833,37.483017,0"
779,"-108.196876,37.483018,0"
410,"-108.227631,37.467719,0"
402,"-108.227663,37.467734,0"
LFGR2,"-108.227758,37.468012,0"
LFGR1,"-108.227804,37.468035,0"
LFGR3,"-108.227929,37.467827,0"
132,"-108.247621,37.485618,0"
157,"-108.247744,37.485541,0"
141,"-108.247759,37.485626,0"
186,"-108.24792,37.485679,0"
179,"-108.247969,37.485646,0"
202,"-108.250631,37.485989,0"
197,"-108.250652,37.486036,0"
LDS2,"-108.25076,37.485892,0"
225,"-108.250802,37.48601,0"
248,"-108.25081,37.486127,0"
LCGR1,"-108.251557,37.484394,0"
LCGR2,"-108.2516,37.484472,0"
114,"-108.251729,37.484286,0"
108,"-108.251749,37.484234,0"
106,"-108.251762,37.484213,0"
444,"-108.253021,37.47801,0"
448,"-108.253132,37.478114,0"
LGGR3,"-108.25317,37.478496,0"
LGGR2,"-108.253297,37.478422,0"
LGGR1,"-108.253302,37.478201,0"